group,type,is_in_intel,is_filtered,category_strength,age,min_positives,max_positives,min_confidence,max_confidence,verdict,response,rule description
ETP,FN,FALSE,-,-,new,0,3,-,-,In Progress,This is a new domain with low malicious indications. Analyse manually,New FN domain with 0 to 3 detections - Analyse manually
ETP,FN,FALSE,-,-,new,4,100,-,-,Block,"Following a thorough investigation, several malicious indications were found.  \nTherefore the domain will be added to the intel. ",New FN domain with 4 or more detections - Block
ETP,FN,FALSE,-,-,new,-,-,-,-,In Progress,VT Error - This is a new FN domain not currently in the intel. Analyse manually,New FN domain with VT Error - Analyse Manually
ETP,FN,FALSE,-,-,old,0,0,-,-,In Progress,This is an old domain with no current indications. Analyse manually,Old FN domain with no detections - Close
ETP,FN,FALSE,-,-,old,1,5,-,-,In Progress,This is an old domain with some indications. Analyse manually,Old FN domain with 1 to 5 detections - Analyse manually
ETP,FN,FALSE,-,-,old,6,100,-,-,Block,"Following a thorough investigation, several malicious indications were found. \nTherefore the domain will be added to the intel. ",Old FN domain with 6 or more detections - Block
ETP,FN,FALSE,-,-,old,-,-,-,-,In Progress,VT Error - This is an old FN domain not currently in the intel. Analyse manually,Old FN domain with VT Error - Analyse Manually
ETP,FN,TRUE,FALSE,strong,new,0,100,-,-,Closed,"Following an investigation, we found the domain already exists in the Intel.",New FN domain in strong intel - Close
ETP,FN,TRUE,FALSE,strong,new,-,-,-,-,Closed,"Following an investigation, we found the domain already exists in the Intel.",New FN domain in strong intel - Close
ETP,FN,TRUE,FALSE,strong,old,0,100,-,-,Closed,"Following an investigation, we found the domain already exists in the Intel.",Old FN domain in strong intel - Close
ETP,FN,TRUE,FALSE,strong,old,-,-,-,-,Closed,"Following an investigation, we found the domain already exists in the Intel.",Old FN domain in strong intel with VT error - Close
ETP,FN,TRUE,FALSE,weak,new,0,5,-,-,In Progress,This is a new domain with malicious indications and is currently in partially malicious intel. ,New FN domain in weak intel list with low or no VT indications - Analyse manually
ETP,FN,TRUE,FALSE,weak,new,6,100,-,-,Block,"Following a thorough investigation, we found that the domain is currently classified as partially malicious in the intel. However, a high number of malicious indications were found and therefore the domain will be added to the intel with higher confidence. ",New FN domain in partially malicious intel  with high VT indications - Block
ETP,FN,TRUE,FALSE,weak,new,-,-,-,-,In Progress,VT Error - Please analyse manually. FN Domain currently in partially malicious Intel. ,New FN domain in partially malicious intel list with VT error - Analyse manually
